scheme,alpha,L,qrsr_mean,qrsr_std,drsr_mean,drsr_std
path_oram_baseline,0,10,0.0,0.0,0.0,0.0
seal,0,10,0.865,0.047696960070847276,0.11498514540381514,0.021095111723616642
seal,1,10,0.865,0.047696960070847276,0.1149871495412423,0.021098753105913613
seal,2,10,0.865,0.047696960070847276,0.11498542549405677,0.021119563011535118
seal,3,10,0.865,0.047696960070847276,0.11497289066837588,0.0211171199096132
seal,4,10,0.865,0.047696960070847276,0.11498654125244027,0.021064558176558147
path_oram_baseline,0,50,0.0,0.0,0.0,0.0
seal,0,50,0.8089999999999999,0.06147357155721472,0.08429608856970436,0.00236731512245921
seal,1,50,0.8089999999999999,0.06147357155721472,0.08429458650048899,0.0023648341395027923
seal,2,50,0.8089999999999999,0.06147357155721472,0.08430397235964608,0.002361920763563701
seal,3,50,0.8089999999999999,0.06147357155721472,0.08428565610869274,0.0023845678705936716
seal,4,50,0.8089999999999999,0.06147357155721472,0.08431204333420471,0.002368167973245488
path_oram_baseline,0,100,0.0,0.0,0.0,0.0
seal,0,100,0.7975000000000001,0.032229644738966626,0.07415216661712301,0.0011877210723043438
seal,1,100,0.7975000000000001,0.032229644738966626,0.07413443487483354,0.0011951784881735123
seal,2,100,0.7975000000000001,0.032229644738966626,0.07413538817974127,0.001183690958158123
seal,3,100,0.7975000000000001,0.032229644738966626,0.07415420678748559,0.0011907592482826182
seal,4,100,0.7975000000000001,0.032229644738966626,0.0741682183144557,0.0012010400851733302
